MSO Name,partnerId,HeadendId,Linux
Mediacom,tivo:pt.4177,4002,N
Mediacom,tivo:pt.4177,908552_IP,N
Mediacom,tivo:pt.4177,909132_IP,N
Mediacom,tivo:pt.4177,1001,N
Mediacom,tivo:pt.4177,4000,N
Mediacom,tivo:pt.4177,NY69538_IP,N
Mediacom,tivo:pt.4177,909132,N
Mediacom,tivo:pt.4177,1003,N
Mediacom,tivo:pt.4177,1100,N
Mediacom,tivo:pt.4177,4001,N
Mediacom,tivo:pt.4177,miltonfl_IP,N
Mediacom,tivo:pt.4177,1002,N
Mediacom,tivo:pt.4177,NY_IPTV,N
Mediacom,tivo:pt.4177,1004,N
Mediacom,tivo:pt.4177,908951_IP,N
Mediacom,tivo:pt.4177,novod,Y
Mediacom,tivo:pt.4177,dmlab,N
Mediacom,tivo:pt.4177,1000,N
Mediacom,tivo:pt.4177,golab,N
Mediacom,tivo:pt.4177,AMES_IP,N
Mediacom,tivo:pt.4177,908552,Y
Mediacom,tivo:pt.4177,4003,N
Mediacom,tivo:pt.4177,dmlab_iptv,N
