MSO Name,partnerId,HeadendId,Linux
RCN,tivo:pt.3640,48177,N
RCN,tivo:pt.3640,48203_STB,N
RCN,tivo:pt.3640,48008,N
RCN,tivo:pt.3640,Sandy_or,N
RCN,tivo:pt.3640,tmpltx,Y
RCN,tivo:pt.3640,23100_STB,N
RCN,tivo:pt.3640,48097,N
RCN,tivo:pt.3640,44090_STB,N
RCN,tivo:pt.3640,48005,N
RCN,tivo:pt.3640,48610,N
RCN,tivo:pt.3640,61004,N
RCN,tivo:pt.3640,44087_STB,N
RCN,tivo:pt.3640,81503,N
RCN,tivo:pt.3640,Port_Angeles_wa,N
RCN,tivo:pt.3640,44092,N
RCN,tivo:pt.3640,44092_STB,N
RCN,tivo:pt.3640,64002,N
RCN,tivo:pt.3640,81510,N
RCN,tivo:pt.3640,48128,N
RCN,tivo:pt.3640,48033_STB,N
RCN,tivo:pt.3640,smrctx,Y
RCN,tivo:pt.3640,81600,N
RCN,tivo:pt.3640,23010_STB,N
RCN,tivo:pt.3640,79002,N
RCN,tivo:pt.3640,24008,N
RCN,tivo:pt.3640,48131,N
RCN,tivo:pt.3640,24012,N
RCN,tivo:pt.3640,29992,N
RCN,tivo:pt.3640,48620,N
RCN,tivo:pt.3640,Tukwila_wa,N
RCN,tivo:pt.3640,48010,N
RCN,tivo:pt.3640,48005_STB,N
RCN,tivo:pt.3640,24011,N
RCN,tivo:pt.3640,29992_STB,N
RCN,tivo:pt.3640,39_0,Y
RCN,tivo:pt.3640,44082,N
RCN,tivo:pt.3640,44083_STB,N
RCN,tivo:pt.3640,44184_STB,N
RCN,tivo:pt.3640,48131_STB,N
RCN,tivo:pt.3640,48210_STB,N
RCN,tivo:pt.3640,48150_STB,N
RCN,tivo:pt.3640,23099,N
RCN,tivo:pt.3640,44091,N
RCN,tivo:pt.3640,24009,N
RCN,tivo:pt.3640,48116_STB,N
RCN,tivo:pt.3640,48116,N
RCN,tivo:pt.3640,48070_STB,N
RCN,tivo:pt.3640,44086_STB,N
RCN,tivo:pt.3640,48008_STB,N
RCN,tivo:pt.3640,48012_STB,N
RCN,tivo:pt.3640,48011,N
RCN,tivo:pt.3640,23100,N
RCN,tivo:pt.3640,48128_STB,N
RCN,tivo:pt.3640,48060,N
RCN,tivo:pt.3640,81505_STB,N
