MSO Name,partnerId,HeadendId,Linux
blueridgedev,tivo:pt.5174,17522_IP,N
blueridgedev,tivo:pt.5174,19565_IP,N
blueridgedev,tivo:pt.5174,16912_IP,N
blueridgedev,tivo:pt.5174,16933,N
blueridgedev,tivo:pt.5174,18657_IP,N
blueridgedev,tivo:pt.5174,18428_2_IP,N
blueridgedev,tivo:pt.5174,18080,N
blueridgedev,tivo:pt.5174,18428_1,N
blueridgedev,tivo:pt.5174,18428_2,N
blueridgedev,tivo:pt.5174,17522,N
blueridgedev,tivo:pt.5174,16947_IP,N
blueridgedev,tivo:pt.5174,17070_IP,N
blueridgedev,tivo:pt.5174,18360,N
blueridgedev,tivo:pt.5174,18833,N
blueridgedev,tivo:pt.5174,18337_IP,N
blueridgedev,tivo:pt.5174,17020,N
blueridgedev,tivo:pt.5174,18405_IP,N
blueridgedev,tivo:pt.5174,18445_IP,N
blueridgedev,tivo:pt.5174,17070,N
blueridgedev,tivo:pt.5174,18833_IP,N
blueridgedev,tivo:pt.5174,18235,N
blueridgedev,tivo:pt.5174,18080_IP,N
blueridgedev,tivo:pt.5174,18337,N
blueridgedev,tivo:pt.5174,16933_IP,N
blueridgedev,tivo:pt.5174,17020_IP,N
blueridgedev,tivo:pt.5174,18428_1_IP,N
blueridgedev,tivo:pt.5174,16922,N
blueridgedev,tivo:pt.5174,18360_IP,N
blueridgedev,tivo:pt.5174,16947,N
blueridgedev,tivo:pt.5174,18235_IP,N
blueridgedev,tivo:pt.5174,18657,N
blueridgedev,tivo:pt.5174,16922_IP,N
blueridgedev,tivo:pt.5174,18445,N
blueridgedev,tivo:pt.5174,18405,N
blueridgedev,tivo:pt.5174,19565,N
blueridgedev,tivo:pt.5174,16912,N
